name,value,update
Arizona,74547698,2022-8
California,406573146,2022-9
Colorado,131508945,2022-8
Illinois,130685122,2022-9
Massachusetts,127385223,2022-9
Maine,16030808,2022-9
Michigan,195349995,2022-9
Montana,19828958,2022-9
New Mexico,21201007,2022-6
Nevada,71297524,2022-9
Oregon,76254955,2022-9
Washington,103663993,2022-9
